folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczka II sem. 21_22/Matematyka Dyskretna/ćwiczenia/Notatki-ćw.Jastrzebski,Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych/Matematyka Dyskretna/ćwiczenia/Notatki-ćw.Jastrzebski,68,63,63,1.0000,0.9265,68,63
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/PrOb_proj3/venv/Lib/site-packages/pygame/tests,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/PrOb_proj3/venv/Lib/site-packages/pygame/tests,75,63,63,1.0000,0.8400,99,87
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Metrologia/Laborki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Metrologia/Laborki,75,62,62,1.0000,0.8267,75,62
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Wykład/stare 17-18,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Wykład/slajdy 17-18,62,61,61,1.0000,0.9839,62,61
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Elektronika,60,63,60,1.0000,0.9524,60,63
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady,Paczki Infa/3 SEM/(BD) Bazy Danych/Wykłady,65,58,58,1.0000,0.8923,66,59
Paczki INFA/Paczka 1 sem. 23_24/memy/pg-related,Paczki Infa/1 SEM/memy/pg-related,57,58,57,1.0000,0.9828,57,58
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Lab/2020,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Lab/2020,57,60,57,1.0000,0.9500,57,60
Paczka II sem. 21_22/Programowanie Obiektowe/egzamin,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/egzamin,53,66,53,1.0000,0.8030,54,67
Paczka I sem. 22_23/Podstawy Programowania/Laboratorium,Paczka I sem./Podstawy Programowania/Laboratorium,51,50,50,1.0000,0.9804,51,50
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Projekty,Paczki Infa/3 SEM/(JP) Języki Programowania/Projekty,92,50,50,1.0000,0.5435,106,51
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Notatki,Paczki Infa/3 SEM/(AKO) Architektura Komputerów/Stara paczka/Notatki,47,117,47,1.0000,0.4017,47,117
Paczka I sem. 22_23/Humanistyka Dla Inżynierów,Paczka I sem./Humanistyka Dla Inżynierów,157,46,46,1.0000,0.2930,158,47
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/PrOb_proj1,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/PrOb_proj1,54,45,45,1.0000,0.8333,54,45
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/PrOb_proj1/PrOb_proj1,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/PrOb_proj1/PrOb_proj1,52,43,43,1.0000,0.8269,52,43
